旧值,新值,旧翻译,新翻译
上昇,増加,上升,
が15以上の場合、,が<nobr>15以上</nobr>の場合、,在15以上的时候，,
が9以下の場合、,が<nobr>9以下</nobr>の場合、,在9以下的时候，,
残り3ターン以内の場合、,残り<nobr>3ターン以内</nobr>の場合、,剩余3回合内的时候，,
が6以上の場合、,が<nobr>6以上</nobr>の場合、,在6以上的时候，,
が5ターン以上の場合、,が<nobr>5ターン以上</nobr>の場合、,在5回合以上的时候，,
が20ターン以下の場合、スキルカード使用後2回ごとに、,が<nobr>20ターン以下</nobr>の場合、スキルカード使用後2回ごとに、,在20回合以下的时候，每使用2次技能卡后，,
ターン開始時、体力が50%以上の場合、,ターン開始時、体力が<nobr>50%以上</nobr>の場合、,回合开始时，体力在50%以上的时候，,
が7ターン以下の場合、,が<nobr>7ターン以下</nobr>の場合、,在7回合以下的时候，,
が3以上の場合、,が<nobr>3以上</nobr>の場合、,在3以上的时候，,
残り3ターン以内のターン終了時、,残り<nobr>3ターン以内</nobr>のターン終了時、,剩余3回合内的回合结束时，,
ターン開始時、体力が50%以下の場合、,ターン開始時、体力が<nobr>50%以下</nobr>の場合、,回合开始时，体力在50%以下的时候，,
を変更した回数が3回以上の場合、,を変更した回数が<nobr>3回以上</nobr>の場合、,变更次数在3次以上的时候，,
が12以上の場合、,が<nobr>12以上</nobr>の場合、,在12以上的时候，,
が8以上の場合、,が<nobr>8以上</nobr>の場合、,在8以上的时候，,
が3ターン以上の場合、,が<nobr>3ターン以上</nobr>の場合、,在3回合以上的时候，,
が20以上の場合、,が<nobr>20以上</nobr>の場合、,在20以上的时候，,
が10以上の場合、,が<nobr>10以上</nobr>の場合、,在10以上的时候，,
<nobr>,2,<nobr>,
2,ターン</nobr>後、,2,
ターン</nobr>後、,アクティブスキルカード,回合</nobr>后，,
アクティブスキルカード,使用不可<nobr>（,主动技能卡,
使用不可<nobr>（,1,不可使用<nobr>（,
1,ターン）</nobr>,1,
ターン）</nobr>, ,回合）</nobr>,
が230以上の場合、,が<nobr>230以上</nobr>の場合、,在230以上的时候，,
が12ターン以上の場合、,が<nobr>12ターン以上</nobr>の場合、,在12回合以上的时候，,
が55以上の場合、,が<nobr>55以上</nobr>の場合、,在55以上的时候，,
